Fecha-hora;Temperatura máxima ºC;Temperatura media ºC;Temperatura mínima ºC;Humedad relativa med. %;Humedad relativa máx. %;Humedad relativa mín. %;Precipitación acumulada l/m²;Radiación global W/m²;Velocidad media viento 2 m m/s;Dirección viento 2 m (MODA) sector;
01/02/2015 00:00:00;2.96;1.48;0.47;92.45;98.6;74.9;2.3;38.7;2.91;7.0
02/02/2015 00:00:00;7.04;3.34;0.91;89.49;97.9;73.5;2.2;76.49;0.78;8.0
03/02/2015 00:00:00;5.36;2.67;-0.35;84.71;98.4;62.48;2.1;83.42;2.05;7.0
04/02/2015 00:00:00;1.29;-1.47;-8.22;77.19;96.6;62.84;0.0;84.57;1.76;8.0
05/02/2015 00:00:00;2.7;0.6;-0.98;72.07;95.7;63.9;0.6;85.71;3.47;8.0
06/02/2015 00:00:00;0.28;-1.48;-6.26;81.48;92.9;72.4;0.2;50.8;1.41;8.0
07/02/2015 00:00:00;2.61;-0.13;-1.9;78.27;84.7;66.74;0.4;75.62;1.37;8.0
08/02/2015 00:00:00;4.6;1.9;-1.88;75.32;84.7;62.05;0.3;153.18;3.87;8.0
09/02/2015 00:00:00;7.19;2.42;-2.87;69.71;96.2;50.31;0.0;158.12;2.43;8.0
10/02/2015 00:00:00;9.24;0.26;-5.89;82.54;97.2;49.85;0.1;159.28;0.31;9.0
11/02/2015 00:00:00;8.35;1.14;-5.58;85.8;97.6;62.09;0.0;104.86;0.34;7.0
12/02/2015 00:00:00;10.38;5.01;0.1;87.22;98.8;66.31;0.0;139.88;0.19;4.0
13/02/2015 00:00:00;11.04;6.16;1.13;79.81;98.5;51.18;0.0;129.57;0.69;7.0
14/02/2015 00:00:00;7.84;6.1;3.26;88.3;95.9;71.2;5.89;45.45;1.06;7.0
15/02/2015 00:00:00;12.07;8.21;5.86;88.89;97.6;74.9;4.39;95.26;1.5;7.0
16/02/2015 00:00:00;10.23;7.34;5.3;85.74;96.6;73.7;3.0;67.77;1.45;7.0
17/02/2015 00:00:00;7.56;5.78;3.94;79.76;88.8;75.3;1.1;62.42;1.63;8.0
18/02/2015 00:00:00;8.02;3.91;-1.28;74.97;95.0;54.3;0.2;115.31;1.03;8.0
19/02/2015 00:00:00;11.32;2.48;-4.0;84.27;98.4;55.01;0.0;178.41;0.05;9.0
20/02/2015 00:00:00;8.03;3.26;-2.15;88.73;99.2;64.55;2.3;96.54;0.15;9.0
21/02/2015 00:00:00;5.86;4.62;2.41;89.7;98.5;76.1;27.74;73.25;2.52;7.0
22/02/2015 00:00:00;8.37;5.7;3.26;83.26;96.5;67.3;4.39;66.69;2.88;8.0
23/02/2015 00:00:00;12.47;8.09;4.39;81.46;97.0;64.88;9.28;74.36;1.93;7.0
24/02/2015 00:00:00;6.15;3.73;1.39;86.92;97.4;78.6;14.98;68.41;3.21;7.0
25/02/2015 00:00:00;10.26;7.21;2.77;86.09;96.0;78.3;12.08;56.49;3.35;7.0
26/02/2015 00:00:00;12.72;10.52;9.46;81.53;91.9;63.32;2.8;103.79;3.39;7.0
27/02/2015 00:00:00;9.97;6.06;4.27;78.43;85.7;61.45;4.99;97.1;2.37;8.0
28/02/2015 00:00:00;12.45;7.64;2.25;85.56;95.9;71.1;0.1;112.13;1.24;7.0
01/03/2015 00:00:00;16.68;13.28;8.76;74.5;94.1;60.06;0.0;113.31;1.55;7.0
02/03/2015 00:00:00;15.08;13.08;9.09;78.3;95.4;67.45;4.29;71.15;1.05;7.0
03/03/2015 00:00:00;17.56;11.66;8.15;84.5;97.1;62.1;0.3;92.59;0.43;8.0
04/03/2015 00:00:00;9.83;6.87;3.71;74.7;91.7;48.16;0.0;121.3;2.85;8.0
05/03/2015 00:00:00;9.96;5.7;2.7;61.0;87.5;31.41;0.0;217.71;3.25;8.0
06/03/2015 00:00:00;18.49;8.41;1.36;61.82;96.5;26.61;0.0;225.35;1.29;7.0
07/03/2015 00:00:00;24.94;10.2;-1.67;64.81;99.3;13.7;0.0;226.62;0.53;7.0
08/03/2015 00:00:00;19.3;12.24;3.57;39.58;78.2;18.83;0.0;204.86;2.06;8.0
09/03/2015 00:00:00;22.06;11.49;-0.67;41.53;87.1;11.05;0.0;212.38;1.08;8.0
10/03/2015 00:00:00;22.53;11.47;2.76;53.88;89.1;20.6;0.0;223.73;0.09;4.0
11/03/2015 00:00:00;22.2;11.3;2.44;65.71;94.7;19.57;0.0;226.04;1.65;8.0
12/03/2015 00:00:00;22.13;11.07;1.69;67.9;96.5;21.83;0.0;211.23;1.98;8.0
13/03/2015 00:00:00;11.64;8.22;3.3;70.8;87.7;55.71;0.0;144.91;3.07;8.0
14/03/2015 00:00:00;7.34;4.72;2.03;84.9;95.0;66.28;0.0;130.09;2.62;7.0
15/03/2015 00:00:00;7.07;4.9;2.22;76.0;88.7;64.01;0.0;114.01;1.52;8.0
16/03/2015 00:00:00;11.09;5.34;-0.4;76.6;96.2;52.36;0.0;142.36;0.82;8.0
17/03/2015 00:00:00;14.19;6.22;-1.95;73.8;97.2;39.18;0.0;231.37;1.11;4.0
18/03/2015 00:00:00;12.46;8.54;3.3;78.6;95.0;59.4;0.0;89.24;0.3;3.0
19/03/2015 00:00:00;15.6;10.0;7.01;82.2;96.0;51.81;0.0;130.09;0.16;1.0
20/03/2015 00:00:00;11.78;8.16;5.06;83.31;92.0;75.4;0.0;164.84;2.79;8.0
21/03/2015 00:00:00;9.42;6.78;4.11;86.3;94.6;76.3;0.0;82.41;1.89;8.0
22/03/2015 00:00:00;8.9;6.76;3.31;83.5;95.1;74.3;0.0;50.39;1.5;8.0
23/03/2015 00:00:00;7.75;3.05;0.14;97.3;98.7;93.0;3.39;25.69;0.13;3.0
24/03/2015 00:00:00;9.43;6.91;3.17;84.7;97.6;70.7;0.0;51.01;1.55;8.0
25/03/2015 00:00:00;6.54;3.66;1.42;83.0;96.3;59.5;4.89;123.26;1.44;8.0
26/03/2015 00:00:00;10.78;7.15;3.04;84.2;91.9;76.1;0.0;133.68;1.96;7.0
27/03/2015 00:00:00;16.34;11.93;7.75;74.5;87.8;61.56;0.0;301.39;3.87;7.0
28/03/2015 00:00:00;19.03;13.31;8.36;65.59;84.3;41.35;0.0;271.07;1.86;7.0
29/03/2015 00:00:00;19.17;12.33;6.33;69.61;94.3;38.75;0.0;220.95;1.39;7.0
30/03/2015 00:00:00;17.9;11.74;4.85;74.4;96.4;35.57;0.0;160.07;1.08;7.0
31/03/2015 00:00:00;18.09;12.44;4.79;70.8;97.2;46.53;0.0;282.52;1.42;7.0
01/04/2015 00:00:00;13.72;10.0;4.18;62.69;87.7;42.11;0.0;222.34;1.19;8.0
02/04/2015 00:00:00;19.98;11.16;2.56;54.59;90.1;15.35;0.0;285.88;1.01;8.0
03/04/2015 00:00:00;21.39;12.38;3.98;57.96;90.8;19.51;0.0;255.67;1.35;8.0
04/04/2015 00:00:00;13.59;9.75;7.61;68.26;78.3;56.05;0.0;129.98;0.66;8.0
05/04/2015 00:00:00;15.2;10.24;3.77;64.22;84.2;43.82;0.0;284.03;2.11;8.0
06/04/2015 00:00:00;18.02;9.5;0.55;69.03;94.5;39.98;0.0;248.96;0.39;2.0
07/04/2015 00:00:00;17.35;9.78;0.07;67.08;97.3;35.07;0.0;297.57;0.63;3.0
08/04/2015 00:00:00;16.21;10.8;6.13;56.6;79.5;31.32;0.0;293.63;2.24;3.0
09/04/2015 00:00:00;14.4;10.58;4.45;53.38;72.5;32.36;0.0;184.61;0.72;4.0
10/04/2015 00:00:00;17.43;11.89;8.76;66.84;94.5;47.43;0.0;164.12;0.57;3.0
11/04/2015 00:00:00;19.5;12.67;5.26;76.4;97.0;43.93;0.0;268.4;0.31;1.0
12/04/2015 00:00:00;20.71;11.53;2.03;75.5;98.5;39.16;0.0;294.68;0.52;4.0
13/04/2015 00:00:00;21.72;12.05;2.03;67.87;97.5;28.1;0.0;300.93;0.42;3.0
14/04/2015 00:00:00;23.47;14.69;2.03;56.14;97.6;24.97;0.0;285.19;0.83;3.0
15/04/2015 00:00:00;17.15;12.04;5.19;58.18;90.0;28.88;0.0;148.96;0.61;4.0
16/04/2015 00:00:00;16.49;10.93;5.87;84.7;94.6;65.46;2.19;121.99;0.07;7.0
17/04/2015 00:00:00;19.36;12.46;6.8;82.8;97.4;50.89;0.0;183.22;0.3;8.0
18/04/2015 00:00:00;19.71;11.36;6.2;86.4;98.2;58.62;5.97;143.4;0.27;8.0
19/04/2015 00:00:00;15.87;10.15;3.44;76.4;96.4;49.83;0.0;181.83;0.17;8.0
20/04/2015 00:00:00;19.9;10.59;0.75;75.1;99.4;37.38;0.0;314.12;0.03;2.0
21/04/2015 00:00:00;21.05;13.14;1.97;67.37;98.7;39.03;0.0;268.29;0.47;3.0
22/04/2015 00:00:00;18.83;13.67;9.03;62.68;93.9;42.03;0.0;236.11;0.94;3.0
23/04/2015 00:00:00;21.85;12.86;4.92;73.7;98.1;31.38;0.0;273.73;0.08;8.0
24/04/2015 00:00:00;21.93;12.91;3.31;76.9;98.1;40.39;0.0;195.14;0.1;8.0
25/04/2015 00:00:00;20.44;15.19;10.17;70.0;94.2;38.88;0.0;208.1;0.22;7.0
26/04/2015 00:00:00;16.22;11.91;8.82;89.6;96.1;72.2;6.37;92.59;0.21;8.0
27/04/2015 00:00:00;15.88;11.2;8.22;76.6;92.2;60.34;0.0;220.72;1.61;8.0
28/04/2015 00:00:00;15.74;10.11;4.51;67.44;93.1;39.51;0.0;244.56;0.33;8.0
29/04/2015 00:00:00;17.56;11.21;5.33;73.9;94.2;49.74;0.0;186.34;0.19;1.0
30/04/2015 00:00:00;21.72;12.23;2.97;77.5;98.3;41.55;0.0;258.8;0.05;6.0
01/05/2015 00:00:00;17.84;14.38;10.37;85.3;94.5;73.1;0.0;105.56;0.69;7.0
02/05/2015 00:00:00;21.99;15.83;9.36;86.6;96.2;70.1;0.0;143.06;0.02;5.0
03/05/2015 00:00:00;20.18;16.31;12.59;87.7;96.3;67.08;0.0;96.18;0.01;4.0
04/05/2015 00:00:00;24.02;18.98;13.53;66.9;95.5;33.98;0.0;156.48;1.2;4.0
05/05/2015 00:00:00;21.92;15.97;6.61;51.88;92.5;23.53;0.0;290.28;1.76;7.0
06/05/2015 00:00:00;21.58;12.51;3.98;64.33;97.5;23.06;0.0;353.13;0.57;8.0
07/05/2015 00:00:00;24.81;15.56;4.25;65.47;97.0;35.46;0.0;310.42;0.34;3.0
08/05/2015 00:00:00;24.34;16.95;7.61;63.46;95.6;34.78;0.0;267.36;1.44;7.0
09/05/2015 00:00:00;25.55;15.85;6.34;65.22;96.3;32.05;0.0;358.91;0.71;8.0
10/05/2015 00:00:00;28.43;17.62;7.14;65.34;94.1;33.68;0.0;341.09;0.35;3.0
11/05/2015 00:00:00;30.61;19.66;8.65;59.54;96.9;26.03;1.22;336.46;1.21;8.0
12/05/2015 00:00:00;31.93;19.96;9.57;57.79;89.2;23.11;0.0;356.02;0.03;1.0
13/05/2015 00:00:00;30.26;20.06;11.11;67.67;92.7;28.97;0.0;275.46;0.05;2.0
14/05/2015 00:00:00;22.8;15.0;9.57;63.03;92.9;26.07;0.0;305.56;2.12;8.0
15/05/2015 00:00:00;13.47;10.85;8.63;80.6;88.5;58.47;0.0;186.69;2.88;7.0
16/05/2015 00:00:00;17.76;13.32;9.63;70.3;85.7;52.35;0.0;224.65;1.52;8.0
17/05/2015 00:00:00;19.63;15.16;9.43;67.04;88.3;48.98;0.0;346.41;2.0;8.0
18/05/2015 00:00:00;27.22;15.08;4.72;64.41;96.2;25.71;0.0;363.89;1.4;1.0
19/05/2015 00:00:00;15.95;11.87;8.63;65.19;78.3;45.19;0.0;261.23;2.0;8.0
20/05/2015 00:00:00;15.34;10.96;8.29;66.18;84.7;49.01;0.0;278.01;1.84;8.0
21/05/2015 00:00:00;15.6;10.45;5.59;67.51;92.2;40.61;0.0;260.42;1.36;8.0
22/05/2015 00:00:00;16.82;11.64;6.53;60.53;84.3;40.26;0.0;283.91;1.84;8.0
23/05/2015 00:00:00;17.55;12.79;9.23;65.21;86.3;43.54;0.0;298.15;2.32;8.0
24/05/2015 00:00:00;20.91;15.59;10.44;64.4;87.9;40.86;0.0;367.59;2.59;8.0
25/05/2015 00:00:00;19.51;15.08;12.32;65.43;80.6;48.92;0.0;266.44;1.32;8.0
26/05/2015 00:00:00;18.23;13.71;9.7;63.68;78.3;47.63;0.0;175.35;0.83;8.0
27/05/2015 00:00:00;22.73;15.73;9.03;59.04;83.8;34.38;0.0;389.24;1.81;8.0
28/05/2015 00:00:00;27.36;16.99;7.62;61.96;92.4;26.39;0.0;380.21;0.67;8.0
29/05/2015 00:00:00;21.12;14.68;7.48;71.2;91.4;52.94;0.0;284.14;0.71;8.0
30/05/2015 00:00:00;25.55;16.12;5.8;60.83;95.0;25.23;0.0;380.56;0.65;8.0
31/05/2015 00:00:00;28.23;18.36;8.02;58.84;93.6;24.41;0.0;369.33;0.49;8.0
01/06/2015 00:00:00;29.51;19.25;12.93;65.17;87.6;27.95;0.0;369.33;0.75;8.0
02/06/2015 00:00:00;31.38;21.01;9.44;63.05;94.7;26.24;0.0;378.82;0.39;1.0
03/06/2015 00:00:00;32.92;22.94;13.13;60.21;92.5;23.37;0.0;349.77;0.32;3.0
04/06/2015 00:00:00;33.27;22.82;11.45;49.61;93.3;16.56;0.0;385.76;0.56;4.0
05/06/2015 00:00:00;32.66;22.22;10.51;45.48;81.1;10.97;0.0;396.3;1.07;2.0
06/06/2015 00:00:00;31.99;20.51;13.67;60.57;85.2;20.03;0.0;398.15;0.61;8.0
07/06/2015 00:00:00;32.99;22.12;11.79;57.42;90.9;16.21;0.0;385.3;0.22;1.0
08/06/2015 00:00:00;31.21;22.19;14.25;62.17;92.6;31.25;0.0;363.91;1.36;1.0
09/06/2015 00:00:00;25.25;18.62;13.59;63.31;89.0;40.08;0.0;327.47;1.65;8.0
10/06/2015 00:00:00;18.04;14.19;11.31;91.6;95.5;80.7;34.31;85.19;0.03;7.0
11/06/2015 00:00:00;18.18;15.8;11.31;91.8;95.7;86.5;34.51;83.91;0.14;3.0
12/06/2015 00:00:00;25.01;16.93;10.91;77.3;96.2;35.46;0.0;280.21;0.2;7.0
13/06/2015 00:00:00;21.39;15.38;11.58;86.9;96.1;59.08;0.0;134.95;0.1;6.0
14/06/2015 00:00:00;22.46;15.11;9.77;78.3;96.2;41.0;0.0;246.18;0.55;8.0
15/06/2015 00:00:00;22.33;15.26;9.3;72.5;94.8;47.82;0.0;305.32;1.93;8.0
16/06/2015 00:00:00;18.7;14.94;10.5;67.83;84.0;55.07;0.0;226.74;1.61;8.0
17/06/2015 00:00:00;20.25;15.54;10.37;66.77;89.3;47.63;0.0;243.75;1.77;8.0
18/06/2015 00:00:00;22.6;17.26;10.98;65.57;84.5;49.19;0.0;373.15;2.2;8.0
19/06/2015 00:00:00;23.81;17.07;11.72;68.96;84.5;46.24;0.0;272.22;1.35;8.0
20/06/2015 00:00:00;28.17;19.67;11.99;54.6;81.6;26.04;0.0;407.06;1.85;8.0
21/06/2015 00:00:00;30.65;21.14;11.45;56.31;91.0;26.79;0.0;403.82;0.73;8.0
22/06/2015 00:00:00;33.66;20.75;9.84;68.09;95.0;22.89;0.0;357.29;0.31;8.0
23/06/2015 00:00:00;25.01;19.42;13.33;57.37;92.4;26.73;0.0;356.37;0.97;8.0
24/06/2015 00:00:00;28.49;19.66;11.58;57.89;88.8;26.99;0.0;405.44;0.47;8.0
25/06/2015 00:00:00;31.92;21.12;9.3;58.4;95.1;22.42;0.0;393.29;0.13;1.0
26/06/2015 00:00:00;34.67;23.31;12.67;58.94;93.4;17.17;0.0;367.71;0.44;1.0
27/06/2015 00:00:00;33.07;23.1;15.01;52.9;86.2;19.83;0.0;396.88;0.51;8.0
28/06/2015 00:00:00;35.15;23.51;12.53;57.43;92.9;19.49;0.0;401.62;0.85;8.0
29/06/2015 00:00:00;35.84;25.44;13.88;57.35;93.9;24.21;0.0;343.75;0.94;8.0
30/06/2015 00:00:00;37.84;29.44;18.17;36.19;83.5;16.9;0.0;375.0;0.49;3.0
01/07/2015 00:00:00;37.71;29.92;22.8;28.65;49.32;15.67;0.0;358.1;1.63;4.0
02/07/2015 00:00:00;34.48;24.94;17.77;46.44;84.2;18.33;0.0;337.5;0.65;3.0
03/07/2015 00:00:00;36.3;26.97;16.02;44.14;87.1;18.81;0.0;341.32;2.15;8.0
04/07/2015 00:00:00;36.97;27.77;20.12;43.29;81.9;16.01;0.0;372.34;1.88;3.0
05/07/2015 00:00:00;33.0;23.19;16.22;63.89;90.9;26.99;0.0;351.62;2.02;8.0
06/07/2015 00:00:00;36.76;25.53;14.74;55.16;88.7;23.44;0.0;378.13;0.37;2.0
07/07/2015 00:00:00;35.21;25.15;18.17;56.08;87.1;25.14;0.0;375.58;2.66;8.0
08/07/2015 00:00:00;22.59;19.23;14.34;62.16;77.3;45.29;0.0;333.1;2.63;8.0
09/07/2015 00:00:00;28.43;20.45;12.8;50.86;83.2;22.7;0.0;403.36;2.0;8.0
10/07/2015 00:00:00;36.62;22.32;9.98;54.7;91.6;16.08;0.0;385.88;1.98;8.0
11/07/2015 00:00:00;26.08;20.35;17.17;60.41;76.4;42.89;0.0;385.76;3.09;8.0
12/07/2015 00:00:00;30.45;21.85;16.02;57.09;79.6;33.74;0.0;386.0;2.06;8.0
13/07/2015 00:00:00;33.07;24.3;14.4;41.24;81.5;10.0;0.0;394.56;2.31;8.0
14/07/2015 00:00:00;35.21;24.36;15.01;50.76;82.3;13.35;0.0;375.58;1.9;8.0
15/07/2015 00:00:00;36.29;28.6;16.94;46.6;83.6;21.87;0.0;372.8;0.39;2.0
16/07/2015 00:00:00;31.79;24.96;18.23;57.78;89.4;28.49;0.0;218.63;0.22;8.0
17/07/2015 00:00:00;33.94;24.25;15.08;58.93;93.2;28.83;0.0;272.22;0.37;8.0
18/07/2015 00:00:00;33.01;23.36;15.77;68.78;93.2;29.88;0.0;302.99;0.55;2.0
19/07/2015 00:00:00;31.99;23.98;17.57;61.94;92.8;26.31;0.0;359.26;0.57;8.0
20/07/2015 00:00:00;26.43;24.4;18.41;65.17;74.9;28.99;0.0;0.41;0.14;8.0
21/07/2015 00:00:00;31.93;24.2;18.84;70.4;90.7;40.28;0.0;238.77;1.0;8.0
22/07/2015 00:00:00;27.97;21.68;17.9;74.8;93.9;52.57;0.0;321.18;2.39;8.0
23/07/2015 00:00:00;32.79;23.59;15.48;61.45;88.4;30.26;0.0;371.18;0.6;8.0
24/07/2015 00:00:00;31.93;22.78;17.1;57.43;77.1;23.65;0.0;312.38;2.46;8.0
25/07/2015 00:00:00;22.72;18.49;12.52;59.06;84.9;38.54;0.0;324.88;2.88;8.0
26/07/2015 00:00:00;32.65;20.4;8.97;59.46;92.3;21.87;0.0;347.57;1.05;8.0
27/07/2015 00:00:00;26.42;20.69;16.76;64.76;80.1;40.91;0.0;332.64;2.34;8.0
28/07/2015 00:00:00;31.58;21.95;13.66;58.71;90.0;27.53;0.0;363.77;0.65;8.0
29/07/2015 00:00:00;28.63;20.85;14.88;66.05;90.3;42.54;0.0;338.08;2.1;8.0
30/07/2015 00:00:00;19.1;15.74;12.93;77.4;92.1;57.33;0.0;187.15;1.92;8.0
31/07/2015 00:00:00;22.06;16.89;13.53;80.4;93.9;69.45;0.0;131.37;1.24;8.0
01/08/2015 00:00:00;23.52;17.36;11.78;65.74;91.4;40.92;0.0;320.95;0.85;8.0
02/08/2015 00:00:00;31.31;21.16;9.83;67.82;95.6;37.02;0.0;356.48;0.38;8.0
03/08/2015 00:00:00;32.94;23.82;15.75;71.2;94.5;39.26;0.0;237.38;0.76;8.0
04/08/2015 00:00:00;26.74;21.12;16.63;69.62;91.9;51.82;0.0;304.4;0.68;8.0
05/08/2015 00:00:00;23.65;20.91;16.07;63.14;74.4;21.27;0.0;1.08;3.36;8.0
06/08/2015 00:00:00;34.13;23.93;13.33;59.46;88.5;23.24;0.0;350.93;0.61;8.0
07/08/2015 00:00:00;28.67;22.64;18.87;66.6;85.1;44.1;0.0;243.98;2.12;8.0
08/08/2015 00:00:00;20.98;16.94;11.79;72.3;88.2;53.42;0.0;145.14;2.39;8.0
09/08/2015 00:00:00;22.79;17.04;10.44;71.0;91.6;49.31;0.0;206.37;0.65;8.0
10/08/2015 00:00:00;33.19;21.45;10.57;56.67;93.4;20.85;0.0;347.8;0.5;8.0
11/08/2015 00:00:00;32.87;27.05;15.27;50.54;84.7;34.7;0.0;239.7;1.04;8.0
12/08/2015 00:00:00;32.94;25.4;19.65;60.57;90.0;27.35;0.0;230.32;0.81;1.0
13/08/2015 00:00:00;26.36;19.57;16.53;65.12;93.1;31.63;0.1;265.16;2.48;7.0
14/08/2015 00:00:00;22.52;17.64;15.21;64.23;90.7;35.74;0.0;203.13;1.51;8.0
15/08/2015 00:00:00;15.21;12.88;11.66;76.4;88.9;37.94;0.1;0.41;0.23;8.0
16/08/2015 00:00:00;27.15;17.9;6.8;62.34;95.4;27.13;0.0;233.91;0.66;8.0
17/08/2015 00:00:00;25.61;19.36;14.67;61.4;78.5;35.25;0.0;270.6;1.66;8.0
18/08/2015 00:00:00;24.33;18.14;12.18;60.64;86.0;36.14;0.0;297.11;1.78;8.0
19/08/2015 00:00:00;28.43;22.36;10.12;46.23;80.9;23.36;0.0;327.43;0.7;1.0
20/08/2015 00:00:00;18.91;16.12;10.71;72.0;80.5;25.17;0.0;0.38;0.0;8.0
21/08/2015 00:00:00;34.13;27.99;13.59;41.62;64.96;31.54;0.1;302.43;0.52;8.0
22/08/2015 00:00:00;30.79;23.42;17.16;61.17;91.1;32.24;0.0;192.48;1.63;3.0
23/08/2015 00:00:00;26.41;21.01;15.62;53.27;94.1;26.11;0.0;319.21;1.79;8.0
24/08/2015 00:00:00;24.6;17.62;10.77;58.83;87.6;26.25;0.0;323.38;2.34;8.0
25/08/2015 00:00:00;28.76;22.02;8.7;43.14;80.5;27.33;0.1;287.96;0.29;8.0
26/08/2015 00:00:00;32.4;22.29;10.23;57.18;86.7;19.97;0.0;271.76;0.87;8.0
27/08/2015 00:00:00;33.4;23.15;13.13;50.99;84.0;13.56;0.0;231.13;0.49;8.0
28/08/2015 00:00:00;34.33;23.77;13.13;55.22;88.6;24.05;0.0;311.0;0.24;8.0
29/08/2015 00:00:00;35.14;27.57;18.57;40.15;74.0;21.8;0.0;298.15;1.82;3.0
30/08/2015 00:00:00;20.24;19.35;19.94;86.7;91.5;21.55;0.0;0.32;0.03;3.0
31/08/2015 00:00:00;20.06;17.34;16.33;89.6;95.3;55.79;0.1;19.68;1.74;8.0
01/09/2015 00:00:00;21.79;17.53;14.61;77.6;95.2;61.95;0.0;202.08;2.78;8.0
02/09/2015 00:00:00;23.8;17.15;13.98;70.7;92.4;56.07;0.0;232.87;1.92;8.0
03/09/2015 00:00:00;20.25;16.82;11.78;69.51;82.7;55.89;0.0;208.68;3.64;8.0
04/09/2015 00:00:00;18.91;15.02;8.95;67.18;91.7;49.13;0.0;231.71;3.0;8.0
05/09/2015 00:00:00;20.24;14.58;8.83;67.32;93.4;38.62;0.0;234.49;2.3;8.0
06/09/2015 00:00:00;22.12;15.05;7.55;66.92;92.5;35.13;0.0;306.94;2.19;8.0
07/09/2015 00:00:00;24.54;15.84;9.3;63.0;89.9;27.62;0.0;295.95;1.46;8.0
08/09/2015 00:00:00;24.45;15.96;9.46;62.43;89.4;28.12;0.0;301.26;1.49;7.0
09/09/2015 00:00:00;25.14;16.76;7.64;68.13;95.4;35.54;0.0;12.86;1.29;7.0
10/09/2015 00:00:00;24.74;18.63;12.65;70.4;91.1;48.02;0.0;207.29;2.19;8.0
11/09/2015 00:00:00;26.49;18.86;10.23;72.5;92.7;44.81;0.0;161.0;2.17;3.0
12/09/2015 00:00:00;25.48;21.35;18.84;71.6;89.5;47.33;0.0;168.17;2.48;3.0
13/09/2015 00:00:00;21.53;17.15;10.91;75.0;92.5;37.39;0.0;98.61;1.29;5.0
14/09/2015 00:00:00;22.93;17.03;11.51;57.24;84.3;25.37;0.0;253.13;2.75;7.0
15/09/2015 00:00:00;18.91;15.05;11.31;72.8;87.9;44.9;0.0;74.18;1.94;3.0
